Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError
iris,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,15.0,0.0,0.0,100.0,0.0,0.0,1.0,0.026613281372043454,0.09123268302212559,5.987988308709775,19.35337464923634,23.77443751081735,1.0484483407363252,22.725989170081025,1.5849625007211567,0.06989655604908834,1.5150659446720682,22.725989170081014,1.5150659446720676,95.59001831164547,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007,0.005,0.01,0.0,10.0,0.0,2968.0,10633.0,2353.0,100.0,40.0,?,?,?,?,?
iris,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,15.0,0.0,0.0,100.0,0.0,0.0,1.0,7.380961394778556E-4,0.0024764825302979747,0.1660716313825175,0.5253412771991153,23.77443751081735,0.024059204232397203,23.750378306584953,1.5849625007211567,0.0016039469488264802,1.5833585537723303,23.750378306584942,1.5833585537723294,99.89880221468347,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,0.001,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,100.0,33.33333333333333,?,?,?,?,?
iris,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,15.0,0.0,0.0,100.0,0.0,0.0,1.0,0.005597520317788169,0.018740424549257947,1.2594420715023378,3.9754443843285423,23.77443751081735,0.1876587822020673,23.586778728615283,1.5849625007211567,0.01251058548013782,1.5724519152410188,23.58677872861528,1.5724519152410186,99.21066993859819,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.001,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,100.0,37.77777777777778,?,?,?,?,?
iris,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,15.0,0.0,0.0,100.0,0.0,0.0,1.0,0.009144578253884888,0.029271768224487217,2.0575301071240992,6.209479742656745,23.77443751081735,0.31185380942698704,23.46258370139036,1.5849625007211567,0.020790253961799135,1.5641722467593575,23.462583701390354,1.5641722467593568,98.68828101911934,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,0.001,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,100.0,37.77777777777778,?,?,?,?,?
iris,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,14.0,1.0,0.0,93.33333333333333,6.666666666666667,0.0,0.9,0.04249040768870454,0.20096050007625044,9.560341729958518,42.63015970636692,23.77443751081735,4.422556587496873,19.35188092332048,1.5849625007211567,0.29483710583312484,1.290125394888032,21.669568310751156,1.4446378873834105,91.14650262868057,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.03333333333333333,0.9666666666666667,0.06666666666666667,0.9444444444444445,0.9333333333333333,0.9326599326599326,0.9062760897356267,1.0,1.0,0.9326599326599326,0.9333333333333333,0.001,0.001,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,93.33333333333333,33.33333333333333,?,?,?,?,?
iris,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,14.0,1.0,0.0,93.33333333333333,6.666666666666667,0.0,0.9,0.04331190447361775,0.17668348214821644,9.74517850656399,37.480226505196846,23.77443751081735,2.7707228671386197,21.00371464367873,1.5849625007211567,0.18471485780924132,1.4002476429119153,21.653420437153915,1.4435613624769277,91.0785814692845,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.03333333333333333,0.9666666666666667,0.06666666666666667,0.9444444444444445,0.9333333333333333,0.9326599326599326,0.9062760897356268,1.0,1.0,0.9326599326599327,0.9333333333333333,0.001,0.001,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,100.0,37.777777777777764,?,?,?,?,?
iris,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,14.0,1.0,0.0,93.33333333333333,6.666666666666667,0.0,0.9,0.06011489446340045,0.22143131201666147,13.525851254265097,46.97267468820467,23.77443751081735,6.962792912377443,16.811644598439905,1.5849625007211567,0.4641861941584962,1.1207763065626604,20.973041328724296,1.3982027552482863,88.21677198117337,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.03333333333333333,0.9666666666666667,0.06666666666666667,0.9444444444444445,0.9333333333333333,0.9326599326599326,0.9062760897356268,0.9866666666666667,0.9777777777777776,0.9326599326599327,0.9333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,93.33333333333333,35.55555555555555,?,?,?,?,?
iris,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,13.0,2.0,0.0,86.66666666666667,13.333333333333334,0.0,0.8,0.08399295629601061,0.27625378899653996,18.898415166602383,58.60227825837931,23.77443751081735,9.567568488331904,14.206869022485446,1.5849625007211567,0.637837899222127,0.9471246014990297,19.609274814950155,1.3072849876633437,82.48049951140989,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.06666666666666667,0.9333333333333333,0.13333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.9733333333333334,0.9565079365079365,0.8666666666666668,0.8666666666666667,0.002,0.0,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,93.33333333333333,35.55555555555555,?,?,?,?,?
iris,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,14.0,1.0,0.0,93.33333333333333,6.666666666666667,0.0,0.9,0.03888400659459021,0.15067669259757233,8.748901483782795,31.963353330751275,23.77443751081735,2.0179606394088583,21.75647687140849,1.5849625007211567,0.13453070929392388,1.4504317914272327,21.85325703763116,1.456883802508744,91.91913384990895,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.03333333333333333,0.9666666666666667,0.06666666666666667,0.9444444444444445,0.9333333333333333,0.9326599326599326,0.9062760897356268,1.0,1.0,0.9326599326599327,0.9333333333333333,0.001,0.001,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,100.0,37.777777777777764,?,?,?,?,?
iris,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.02203281558E7,135.0,15.0,15.0,0.0,0.0,100.0,0.0,0.0,1.0,0.031321278546770755,0.10508871999948675,7.047287673023417,22.29268396135543,23.77443751081735,1.273186442667575,22.501251068149774,1.5849625007211567,0.08487909617783833,1.5000834045433182,22.50125106814977,1.500083404543318,94.64472527651482,1.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.001,0.0,0.0,0.0,0.0,2968.0,10633.0,2353.0,100.0,40.00000000000001,?,?,?,?,?
